Probe Set ID,CG Name,Gene Name,FBgn Number,GO
152672_at,CG9166,CG9166,FBgn0035214,---
143681_at,CG1403,septin,FBgn0011710,0000910 // cytokinesis // inferred from sequence or structural similarity /// 0000910 // cytokinesis // non-traceable author statement /// 0007049 // cell cycle // inferred from electronic annotation /// 0007349 // cellularization // traceable author statement /// 0051301 // cell division // inferred from electronic annotation
142638_at,CG4173,septin,FBgn0014029,0000910 // cytokinesis // inferred from mutant phenotype /// 0000910 // cytokinesis // inferred from sequence or structural similarity /// 0000910 // cytokinesis // non-traceable author statement /// 0007049 // cell cycle // inferred from electronic annotation /// 0007349 // cellularization // traceable author statement /// 0051301 // cell division // inferred from electronic annotation
141378_at,CG9699,Septin 4,FBgn0030772,0000910 // cytokinesis // inferred from sequence or structural similarity /// 0007049 // cell cycle // inferred from electronic annotation /// 0007264 // small GTPase mediated signal transduction // inferred from electronic annotation
146780_at,CG2916,septin,FBgn0033242,0000910 // cytokinesis // inferred from sequence or structural similarity /// 0000910 // cytokinesis // non-traceable author statement /// 0007049 // cell cycle // inferred from electronic annotation
143121_at,CG2175,defective chorion 1,FBgn0000427,0007304 // chorion-containing eggshell formation // inferred from mutant phenotype /// 0007304 // chorion-containing eggshell formation // traceable author statement /// 0007304 // chorion-containing eggshell formation // inferred from electronic annotation /// 0007306 // eggshell chorion formation // non-traceable author statement /// 0007306 // eggshell chorion formation // traceable author statement /// 0007306 // eggshell chorion formation // inferred from mutant phenotype
141238_at,CG10595,CG10595,FBgn0032046,---
141295_at,CG12686,CG12686,FBgn0040909,---
141311_at,CG8756,CG8756,FBgn0036901,---
141371_at,CG13263,CG13263,FBgn0000408,0006810 // transport // inferred from electronic annotation
141373_at,CG18117,CG18117,FBgn0032993,0000272 // polysaccharide catabolic process // inferred from electronic annotation /// 0005975 // carbohydrate metabolic process // inferred from electronic annotation /// 0006030 // chitin metabolic process // inferred from electronic annotation /// 0006032 // chitin catabolic process // inferred from electronic annotation /// 0006032 // chitin catabolic process // non-traceable author statement /// 0008152 // metabolic process // inferred from electronic annotation
141422_at,CG17309,CG17309,FBgn0037925,0006468 // protein amino acid phosphorylation // inferred from electronic annotation
141438_at,CG5058,CG5058,FBgn0004586,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007009 // plasma membrane organization and biogenesis // inferred from mutant phenotype /// 0007399 // nervous system development // inferred from mutant phenotype /// 0007402 // ganglion mother cell fate determination // traceable author statement /// 0007419 // ventral cord development // non-traceable author statement /// 0007424 // open tracheal system development // inferred from expression pattern /// 0007424 // open tracheal system development // traceable author statement /// 0007426 // tracheal outgrowth, open tracheal system // inferred from mutant phenotype /// 0007428 // primary branching, open tracheal system // traceable author statement /// 0008360 // regulation of cell shape // inferred from mutant phenotype /// 0008362 // chitin-based embryonic cuticle biosynthetic process // inferred from mutant phenotype /// 0016044 // membrane organization and biogenesis // traceable author statement /// 0035152 // regulation of tube architecture, open tracheal system // traceable author statement /// 0035159 // regulation of tube length, open tracheal system // inferred from mutant phenotype /// 0042127 // regulation of cell proliferation // inferred from mutant phenotype"
141469_at,CG11706,CG11706,FBgn0029744,---
141602_at,CG12750,CG12750,FBgn0032678,0006397 // mRNA processing // inferred from electronic annotation /// 0008380 // RNA splicing // inferred from electronic annotation /// 0016070 // RNA metabolic process // inferred from electronic annotation
141618_at,CG1059,CG1059,FBgn0011341,---
141644_at,CG3696,CG3696,FBgn0001309,0006333 // chromatin assembly or disassembly // inferred from electronic annotation
141732_at,CG7850,CG7850,FBgn0004210,0006470 // protein amino acid dephosphorylation // inferred from electronic annotation /// 0016311 // dephosphorylation // inferred from electronic annotation
141783_at,CG13327,CG13327,FBgn0033796,---
141819_at,AW941705,AW941705,GH01053.3prime-hit,---
141820_at,AI513096,AI513096,GH01304.3prime-hit,---
141821_at,AI513097,AI513097,GH01314.3prime-hit,---
141822_at,AW940059,AW940059,GH01674.3prime-hit,---
141823_at,AW940071,AW940071,GH01974.3prime-hit,---
141824_at,AI401851,AI401851,GH02203.3prime-hit,---
141825_at,AW940098,AW940098,GH02475.3prime-hit,---
141826_at,AW940119,AW940119,GH03085.3prime-hit,---
141827_at,AI401907,AI401907,GH03360.3prime-hit,---
141828_at,AI401916,AI401916,GH03514.3prime-hit,---
141829_at,AW940144,AW940144,GH03781.3prime-hit,---
141830_at,AI401932,AI401932,GH03876.3prime-hit,---
141831_at,AW940155,AW940155,GH04039.3prime-hit,---
141832_at,AI401945,AI401945,GH04194.3prime-hit,---
141833_at,AI401946,AI401946,GH04205.3prime-hit,---
141837_at,AW940188,AW940188,GH05059.3prime-hit,---
141838_at,AW940193,AW940193,GH05289.3prime-hit,---
141839_at,AI402009,AI402009,GH05433.3prime-hit,---
141840_at,AW940200,AW940200,GH05558.3prime-hit,---
141841_at,AI517938,AI517938,GH05908.3prime-hit,---
141842_at,AW940220,AW940220,GH06241.3prime-hit,---
141843_at,AI517944,AI517944,GH06247.3prime-hit,---
141844_at,AW940232,AW940232,GH06474.3prime-hit,---
141845_at,AI517956,AI517956,GH06695.3prime-hit,---
141846_at,AW940252,AW940252,GH07296.3prime-hit,---
141847_at,AW940264,AW940264,GH07529.3prime-hit,---
141848_at,AW940276,AW940276,GH07892.3prime-hit,---
141849_at,AW940284,AW940284,GH07966.3prime-hit,---
141850_at,AW940287,AW940287,GH07976.3prime-hit,---
141851_at,AI402118,AI402118,GH08116.3prime-hit,---
141852_at,AI402127,AI402127,GH08312.3prime-hit,---
141853_at,AI402143,AI402143,GH08677.3prime-hit,---
141854_at,AW941716,AW941716,GH08760.3prime-hit,---
141855_at,AW941722,AW941722,GH08893.3prime-hit,---
141856_at,AI402157,AI402157,GH09035.3prime-hit,---
141857_at,AI402165,AI402165,GH09240.3prime-hit,---
141858_at,AI402181,AI402181,GH09630.3prime-hit,---
141859_at,AW941745,AW941745,GH09868.3prime-hit,---
141860_at,AW941748,AW941748,GH09946.3prime-hit,---
141861_at,GH10421.3prime-hit,GH10421.3prime-hit,GH10421.3prime-hit,---
141862_at,AI402209,AI402209,GH10454.3prime-hit,---
141864_i_at,AI402218,AI402218,GH10614.3prime-hit,---
141865_r_at,AI402218,AI402218,GH10614.3prime-hit,---
141866_at,AW940372,AW940372,GH10637.3prime-hit,---
141867_at,AI402221,AI402221,GH10642.3prime-hit,---
141868_at,AW940403,AW940403,GH11331.3prime-hit,---
141869_at,AI402259,AI402259,GH11333.3prime-hit,---
141870_at,AW940404,AW940404,GH11346.3prime-hit,---
141871_at,AW940437,AW940437,GH11964.3prime-hit,---
141872_at,AW940453,AW940453,GH12182.3prime-hit,---
141873_at,AI402286,AI402286,GH12341.3prime-hit,---
141874_at,AW940475,AW940475,GH12664.3prime-hit,---
141875_at,AW940478,AW940478,GH12726.3prime-hit,---
141876_at,AW940492,AW940492,GH13039.3prime-hit,---
141877_at,AI513233,AI513233,GH13040.3prime-hit,---
141878_at,AI513271,AI513271,GH13810.3prime-hit,---
141879_at,AW940519,AW940519,GH13855.3prime-hit,---
141880_at,AI513284,AI513284,GH13950.3prime-hit,---
141881_at,AI513300,AI513300,GH14327.3prime-hit,---
141882_at,AW940544,AW940544,GH14349.3prime-hit,---
141884_at,AW940564,AW940564,GH14622.3prime-hit,---
141885_at,AW940565,AW940565,GH14656.3prime-hit,---
141886_at,AI513317,AI513317,GH14673.3prime-hit,---
