Probe Set ID,CG Name,Gene Name,FBgn Number,GO
152672_at,CG9166,CG9166,FBgn0035214,---
141206_at,CG7961,alphaCop,FBgn0025725,"0006886 // intracellular protein transport // inferred from electronic annotation /// 0006890 // retrograde vesicle-mediated transport, Golgi to ER // inferred from sequence or structural similarity /// 0006890 // retrograde vesicle-mediated transport, Golgi to ER // non-traceable author statement /// 0006911 // phagocytosis, engulfment // inferred from mutant phenotype /// 0016192 // vesicle-mediated transport // non-traceable author statement /// 0016192 // vesicle-mediated transport // inferred from electronic annotation"
141209_at,CG12135,c12.1,FBgn0030126,"0000398 // nuclear mRNA splicing, via spliceosome // inferred from electronic annotation /// 0000398 // nuclear mRNA splicing, via spliceosome // inferred from sequence or structural similarity /// 0006397 // mRNA processing // inferred from electronic annotation /// 0007052 // mitotic spindle organization and biogenesis // inferred from mutant phenotype /// 0008380 // RNA splicing // inferred from electronic annotation"
141210_at,CG10053,CG10053,FBgn0037490,---
141216_at,CG12096,CG12096,FBgn0030457,---
141220_at,CG12054,CG12054,FBgn0039831,---
141222_at,CG14641,CG14641,FBgn0037220,"0000381 // regulation of alternative nuclear mRNA splicing, via spliceosome // inferred from mutant phenotype"
141228_at,CG11982,CG11982,FBgn0037653,---
141229_at,CG11678,Actr13E,FBgn0011741,0007010 // cytoskeleton organization and biogenesis // inferred from sequence or structural similarity
141230_at,CG1381,CG1381,FBgn0033485,0042254 // ribosome biogenesis // inferred from electronic annotation
141234_at,CG11367,CG11367,FBgn0037185,---
141238_at,CG10595,CG10595,FBgn0032046,---
141240_at,CG1103,CG1103,FBgn0037235,---
141246_at,CG10754,CG10754,FBgn0036314,"0000398 // nuclear mRNA splicing, via spliceosome // inferred from sequence or structural similarity /// 0007052 // mitotic spindle organization and biogenesis // inferred from mutant phenotype"
141247_at,CG13343,CG13343,FBgn0033882,0006464 // protein modification process // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation
141250_at,CG10419,CG10419,FBgn0036850,"0000245 // spliceosome assembly // inferred from electronic annotation /// 0000398 // nuclear mRNA splicing, via spliceosome // inferred from electronic annotation"
141271_at,CG1021,CG1021,FBgn0037443,---
141274_at,CG14710,CG14710,FBgn0037920,---
141279_at,CG12006,CG12006,FBgn0035464,0006506 // GPI anchor biosynthetic process // inferred from sequence or structural similarity /// 0006506 // GPI anchor biosynthetic process // inferred from electronic annotation
141280_at,CG10283,CG10283,FBgn0032681,---
141290_at,CG10444,CG10444,FBgn0034494,0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation /// 0006814 // sodium ion transport // inferred from electronic annotation
141292_at,CG1236,CG1236,FBgn0037370,0008152 // metabolic process // inferred from electronic annotation /// 0055114 // oxidation reduction // inferred from electronic annotation
141295_at,CG12686,CG12686,FBgn0040909,---
141299_at,CG12104,CG12104,FBgn0035238,"0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation"
141302_at,CG1239,CG1239,FBgn0037368,---
141303_at,CG10814,CG10814,FBgn0033830,0055114 // oxidation reduction // inferred from electronic annotation
141308_at,CG11454,CG11454,FBgn0031224,---
141311_at,CG8756,CG8756,FBgn0036901,---
141317_at,CG12321,CG12321,FBgn0038577,0045454 // cell redox homeostasis // inferred from electronic annotation
141318_at,CG1363,blow,FBgn0004133,0007498 // mesoderm development // inferred from expression pattern /// 0007519 // skeletal muscle development // traceable author statement /// 0007520 // myoblast fusion // inferred from mutant phenotype /// 0007520 // myoblast fusion // traceable author statement
141319_at,CG5450,Cdlc2,FBgn0026141,0007017 // microtubule-based process // inferred from electronic annotation /// 0007018 // microtubule-based movement // inferred from sequence or structural similarity
141323_at,CG10200,CG10200,FBgn0033968,---
141326_at,CG13388,Akap200,FBgn0027932,0008104 // protein localization // non-traceable author statement /// 0016068 // type I hypersensitivity // inferred from electronic annotation /// 0035071 // salivary gland cell autophagic cell death // inferred from expression pattern /// 0046580 // negative regulation of Ras protein signal transduction // inferred from genetic interaction /// 0048102 // autophagic cell death // inferred from expression pattern
141335_at,CG8250,Alk,FBgn0034146,0000186 // activation of MAPKK activity // inferred from mutant phenotype /// 0006468 // protein amino acid phosphorylation // non-traceable author statement /// 0006468 // protein amino acid phosphorylation // inferred from electronic annotation /// 0007169 // transmembrane receptor protein tyrosine kinase signaling pathway // inferred from electronic annotation /// 0007411 // axon guidance // inferred from mutant phenotype /// 0007498 // mesoderm development // inferred from mutant phenotype /// 0007522 // visceral muscle development // inferred from mutant phenotype /// 0042051 // compound eye photoreceptor development // inferred from mutant phenotype /// 0045610 // regulation of hemocyte differentiation // inferred from mutant phenotype /// 0048565 // gut development // inferred from mutant phenotype
141338_at,CG1342,CG1342,FBgn0039795,---
141340_at,CG10062,CG10062,FBgn0034439,0006508 // proteolysis // inferred from electronic annotation
141341_at,CG13330,CG13330,FBgn0033848,---
141346_at,CG13397,CG13397,FBgn0032041,0008152 // metabolic process // inferred from electronic annotation
141354_at,CG10132,CG10132,FBgn0032798,---
141357_at,CG12118,CG12118,FBgn0030101,---
141361_at,CG11880,CG11880,FBgn0039637,---
141363_at,CG10882,CG10882,FBgn0031408,0006810 // transport // inferred from electronic annotation /// 0006886 // intracellular protein transport // inferred from electronic annotation /// 0006888 // ER to Golgi vesicle-mediated transport // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0015031 // protein transport // inferred from electronic annotation /// 0016192 // vesicle-mediated transport // inferred from electronic annotation
141366_at,CG10764,CG10764,FBgn0034221,0006508 // proteolysis // inferred from electronic annotation /// 0006508 // proteolysis // non-traceable author statement
141369_at,CG18030,CG18030,FBgn0039778,"0002168 // instar larval development // inferred from mutant phenotype /// 0006355 // regulation of transcription, DNA-dependent // inferred from sequence similarity /// 0006508 // proteolysis // inferred from electronic annotation /// 0007482 // haltere development // inferred from genetic interaction /// 0007591 // molting cycle, chitin-based cuticle // inferred from mutant phenotype"
141371_at,CG13263,CG13263,FBgn0000408,0006810 // transport // inferred from electronic annotation
141373_at,CG18117,CG18117,FBgn0032993,0000272 // polysaccharide catabolic process // inferred from electronic annotation /// 0005975 // carbohydrate metabolic process // inferred from electronic annotation /// 0006030 // chitin metabolic process // inferred from electronic annotation /// 0006032 // chitin catabolic process // inferred from electronic annotation /// 0006032 // chitin catabolic process // non-traceable author statement /// 0008152 // metabolic process // inferred from electronic annotation
141374_at,CG10146,AttA,FBgn0012042,0006955 // immune response // inferred from electronic annotation /// 0019731 // antibacterial humoral response // inferred from expression pattern /// 0019731 // antibacterial humoral response // non-traceable author statement /// 0042742 // defense response to bacterium // traceable author statement /// 0042742 // defense response to bacterium // inferred from electronic annotation /// 0045087 // innate immune response // inferred from electronic annotation /// 0050829 // defense response to Gram-negative bacterium // inferred from expression pattern /// 0050829 // defense response to Gram-negative bacterium // non-traceable author statement
141376_at,CG6264,Best1,FBgn0037795,---
141378_at,CG9699,Septin 4,FBgn0030772,0000910 // cytokinesis // inferred from sequence or structural similarity /// 0007049 // cell cycle // inferred from electronic annotation /// 0007264 // small GTPase mediated signal transduction // inferred from electronic annotation
141379_at,CG9538,Ag5r,FBgn0015010,---
141384_at,CG12164,CG12164,FBgn0033158,---
141394_at,CG10479,CG10479,FBgn0035656,---
