PID,CG Number,Gene Name,FBgn Number,GO Biofunction
1616608_a_at,CG9042,Gpdh,FBgn0001128,0005975 // carbohydrate metabolic process // inferred from electronic annotation /// 0006072 // glycerol-3-phosphate metabolic process // inferred from sequence or structural similarity /// 0006072 // glycerol-3-phosphate metabolic process // inferred from electronic annotation /// 0006127 // glycerophosphate shuttle // non-traceable author statement /// 0006641 // triacylglycerol metabolic process // inferred from mutant phenotype /// 0007629 // flight behavior // inferred from mutant phenotype /// 0008152 // metabolic process // inferred from electronic annotation /// 0046168 // glycerol-3-phosphate catabolic process // inferred from electronic annotation /// 0055114 // oxidation reduction // inferred from electronic annotation
1622892_s_at,CG7163,mkg-p,FBgn0035889,"0006388 // tRNA splicing, via endonucleolytic cleavage and ligation // inferred from electronic annotation /// 0006388 // tRNA splicing, via endonucleolytic cleavage and ligation // inferred from sequence or structural similarity"
1622893_at,CG16844,IM3,FBgn0040736,0006952 // defense response // inferred from direct assay /// 0006955 // immune response // inferred from electronic annotation /// 0008063 // Toll signaling pathway // non-traceable author statement /// 0019731 // antibacterial humoral response // inferred from direct assay /// 0045087 // innate immune response // inferred from electronic annotation
1622894_at,CG15120,CG15120,FBgn0034454,---
1622895_at,CG32075,CG32075,FBgn0052075,---
1622896_at,CG13848,pinta,FBgn0038966,0007602 // phototransduction // inferred from mutant phenotype /// 0016063 // rhodopsin biosynthetic process // inferred from mutant phenotype
1622897_at,CG2328,eve,FBgn0000606,"0001709 // cell fate determination // non-traceable author statement /// 0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from sequence or structural similarity /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007350 // blastoderm segmentation // traceable author statement /// 0007366 // periodic partitioning by pair rule gene // non-traceable author statement /// 0007366 // periodic partitioning by pair rule gene // traceable author statement /// 0007366 // periodic partitioning by pair rule gene // inferred from electronic annotation /// 0007376 // cephalic furrow formation // inferred from mutant phenotype /// 0007377 // germ-band extension // inferred from mutant phenotype /// 0007377 // germ-band extension // traceable author statement /// 0007399 // nervous system development // non-traceable author statement /// 0007417 // central nervous system development // non-traceable author statement /// 0007507 // heart development // non-traceable author statement /// 0007517 // muscle development // traceable author statement /// 0008045 // motor axon guidance // inferred from mutant phenotype /// 0008595 // determination of anterior/posterior axis, embryo // non-traceable author statement /// 0009997 // negative regulation of cardioblast cell fate specification // inferred from mutant phenotype /// 0035289 // posterior head segmentation // traceable author statement /// 0035290 // trunk segmentation // traceable author statement /// 0045165 // cell fate commitment // non-traceable author statement /// 0050770 // regulation of axonogenesis // inferred from mutant phenotype"
1622898_a_at,CG4247,mRpS10,FBgn0038307,0006412 // translation // inferred from sequence or structural similarity /// 0006412 // translation // inferred from electronic annotation
1622899_at,CG3945,Rad9,FBgn0025807,0006281 // DNA repair // inferred from electronic annotation /// 0006281 // DNA repair // non-traceable author statement
1622900_at,CG30330,Gr59d,FBgn0041236,0007165 // signal transduction // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0050909 // sensory perception of taste // inferred from electronic annotation /// 0050909 // sensory perception of taste // inferred from sequence or structural similarity /// 0050909 // sensory perception of taste // non-traceable author statement
1622901_at,CG9993,CG9993,FBgn0034553,0008152 // metabolic process // inferred from electronic annotation
1622902_at,CG6641,Pbprp5,FBgn0011283,0006810 // transport // inferred from electronic annotation /// 0007606 // sensory perception of chemical stimulus // not recorded
1622903_s_at,CG1841,Tango10,FBgn0030330,0007517 // muscle development // inferred from mutant phenotype /// 0048813 // dendrite morphogenesis // inferred from mutant phenotype
1622904_at,CG5747,mfr,FBgn0035935,0007283 // spermatogenesis // inferred from mutant phenotype /// 0009566 // fertilization // inferred from mutant phenotype /// 0009790 // embryonic development // inferred from mutant phenotype /// 0030381 // chorion-containing eggshell pattern formation // inferred from mutant phenotype /// 0035045 // sperm plasma membrane disassembly // inferred from mutant phenotype
1622905_at,S.C3L002615,---,---,---
1622906_at,CG13200,CG9027,FBgn0033631,0006801 // superoxide metabolic process // inferred from electronic annotation /// 0055114 // oxidation reduction // inferred from electronic annotation
1622907_at,CG5189,CG5189,FBgn0034350,---
1622908_a_at,CG10962,CG10962,FBgn0030073,0008152 // metabolic process // inferred from electronic annotation
1622909_at,CG2699,Pi3K21B,FBgn0020622,0006468 // protein amino acid phosphorylation // inferred from direct assay /// 0008286 // insulin receptor signaling pathway // traceable author statement /// 0008361 // regulation of cell size // inferred from mutant phenotype /// 0042127 // regulation of cell proliferation // inferred from mutant phenotype /// 0045793 // positive regulation of cell size // traceable author statement /// 0045927 // positive regulation of growth // traceable author statement /// 0046620 // regulation of organ growth // non-traceable author statement /// 0046834 // lipid phosphorylation // inferred from direct assay /// 0046854 // phosphoinositide phosphorylation // inferred from direct assay
1622910_at,Dm.3R.39558.0,---,---,---
1622911_at,S.CX000516,---,---,---
1622912_at,CG6492,Ucp4A,FBgn0030872,0006810 // transport // inferred from electronic annotation /// 0006839 // mitochondrial transport // inferred from electronic annotation /// 0015992 // proton transport // inferred from sequence or structural similarity
1622913_a_at,CG3682,PIP5K59B,FBgn0034789,0016310 // phosphorylation // non-traceable author statement /// 0046488 // phosphatidylinositol metabolic process // inferred from electronic annotation
1622914_at,HDC16025,---,---,---
1622915_at,CG16991,Tsp66A,FBgn0035786,---
1622916_at,CG11581,CG11581,FBgn0030540,---
1622917_a_at,CG42355,CG42355,FBgn0052308,---
1622918_at,CT32533,,---,---
1622919_at,CG14640,TwdlV,FBgn0037227,---
